Scale	mean_F	mean_P	sd_F	sd_P	n_F	n_P	pooled_sd	cohen_d	eff_FmP	p_mw	fdr	neglog10_fdr
PALJ810111	1.0751779872131204	1.003377870260568	0.05530453458401375	0.04221118584749892	17	48	0.04589175024065964	1.5645539029570112	0.0718001169525524	1.774144959991249e-5	0.009704572931152133	2.0130235718392484
CHOP780202	1.0822557715712635	1.0148348623031636	0.06441685783901625	0.045543024564570725	17	48	0.05100238996059281	1.321916665477696	0.06742090926809996	2.625466079640507e-4	0.023935499092722624	1.6209575123660496
CHOP780208	1.1154421398079573	1.0116243907078342	0.11828956308908731	0.07294726671530172	17	48	0.08673806643786275	1.1969110376064913	0.10381774910012309	2.203357247720067e-4	0.023935499092722624	1.6209575123660496
MEEJ800102	2.768074718414444	1.5829503018898823	1.5416946126040685	0.6195088209104965	17	48	0.9433757510087764	1.2562591472775053	1.1851244165245616	2.4769897478910016e-4	0.023935499092722624	1.6209575123660496
NAKH900108	0.2586093844150065	0.08501006999840996	0.23516798060759234	0.11760413695793377	17	48	0.15608850348852038	1.1121851419977515	0.17359931441659657	1.1400065553737816e-4	0.023935499092722624	1.6209575123660496
WILM950101	0.9982280559091813	0.7054224686166447	0.4318788489069003	0.18463470215384126	17	48	0.2698188158800642	1.0851933596161438	0.2928055872925366	2.625466079640507e-4	0.023935499092722624	1.6209575123660496
HOPT810101	-0.42937478003470164	-0.17612097298771298	0.24418245807738376	0.21305422383068187	17	48	0.22137485170876317	-1.1440044119381945	-0.25325380704698863	3.9230077363598144e-4	0.026823565397360232	1.5714834960785398
NAGK730102	1.0750984148743072	1.0117624601065753	0.06620727531594767	0.0387218780405361	17	48	0.04724228219635058	1.3406624706336594	0.0633359547677319	3.9230077363598144e-4	0.026823565397360232	1.5714834960785398
BLAS910101	0.5640660430352483	0.5175191627745999	0.0951379626545777	0.03483611281137702	17	48	0.05660455763409497	0.822316827587247	0.04654688026064846	5.801699461887069e-4	0.03173529605652227	1.4984574458260225
RICJ880113	0.9037132412580376	0.9795852386003907	0.2005577356705938	0.08670576105996078	17	48	0.12579368775918223	-0.6031463000560203	-0.07587199734235306	5.801699461887069e-4	0.03173529605652227	1.4984574458260225
